term	coefficient_m
const	-2990789.4239832694
t_year_centered	5671.680503633688
t_year_centered_sq	529.9621724938042
annual_1_sin	-288833.33234832366
annual_1_cos	61112.39911544812
annual_2_sin	22340.498905617977
annual_2_cos	19183.018812540453
annual_3_sin	-4489.938986303518
annual_3_cos	-50392.83703902806
synodic_1_sin	17057616.900618028
synodic_1_cos	9805102.787112715
synodic_2_sin	555007.9915943741
synodic_2_cos	-790754.6976547891
synodic_3_sin	416852.6782527551
synodic_3_cos	528697.6989055979
synodic_4_sin	-25071.387456467375
synodic_4_cos	23694.259008663474
synodic_5_sin	93344.80712591042
synodic_5_cos	-160236.39681153942
synodic_6_sin	111456.94216476788
synodic_6_cos	98056.59320751624
sidereal_month_1_sin	-48596808.2058758
sidereal_month_1_cos	-152032535.77659765
sidereal_month_2_sin	8870.15511125431
sidereal_month_2_cos	-54391.62756892503
sidereal_month_3_sin	20606.50898697856
sidereal_month_3_cos	13513.488092737156
sidereal_month_4_sin	-31831.805035409867
sidereal_month_4_cos	16411.55181981309
sidereal_month_5_sin	-31872.32528390037
sidereal_month_5_cos	-67566.91429375077
sidereal_month_6_sin	10644.667188574094
sidereal_month_6_cos	54503.468047873816
anomalistic_1_sin	-27252.143209559843
anomalistic_1_cos	-25814.34995626472
anomalistic_2_sin	-42183.62213047221
anomalistic_2_cos	-4345.836233011447
anomalistic_3_sin	50126.283066170756
anomalistic_3_cos	26208.8787602745
anomalistic_4_sin	31652.267626076937
anomalistic_4_cos	-22975.575647589634
anomalistic_5_sin	-76668.0392979104
anomalistic_5_cos	68956.40795116499
anomalistic_6_sin	-9646.52085442841
anomalistic_6_cos	-4295.511919733137
solar_day_1_sin	-894885.1581195742
solar_day_1_cos	-3572274.6542272493
solar_day_2_sin	1525874.6201329608
solar_day_2_cos	2902635.5637623966
solar_day_3_sin	-1302222.514695719
solar_day_3_cos	-1245175.7552557178
solar_day_4_sin	487700.894194969
solar_day_4_cos	210518.36012960225
sidereal_day_1_sin	471363.12137583643
sidereal_day_1_cos	-237563.3161640428
sidereal_day_2_sin	-31335.432147663087
sidereal_day_2_cos	-260695.01404538052
sidereal_day_3_sin	-32519.737819898874
sidereal_day_3_cos	41965.67688002065
sidereal_day_4_sin	19140.095925938338
sidereal_day_4_cos	32612.200910985703
synodic_1_minus_annual_sin	20824.30741332844
synodic_1_minus_annual_cos	16748.182004421018
synodic_1_plus_annual_sin	49380910.72149418
synodic_1_plus_annual_cos	151453201.50434726
synodic_2_minus_annual_sin	-7830.13497710973
synodic_2_minus_annual_cos	-68577.30988525599
synodic_2_plus_annual_sin	-16508099.808928007
synodic_2_plus_annual_cos	-14950295.238451151
synodic_3_minus_annual_sin	62013.10792803019
synodic_3_minus_annual_cos	-181101.16545740515
synodic_3_plus_annual_sin	-118597.12167439237
synodic_3_plus_annual_cos	43949.29956486833
sidereal_month_1_minus_annual_sin	-18929474.759700786
sidereal_month_1_minus_annual_cos	-10250979.768902088
sidereal_month_1_plus_annual_sin	26092.37871583365
sidereal_month_1_plus_annual_cos	118338.89878386259
sidereal_month_2_minus_annual_sin	16298493.946674166
sidereal_month_2_minus_annual_cos	14885488.07557117
sidereal_month_2_plus_annual_sin	9872.335134966299
sidereal_month_2_plus_annual_cos	22779.489012515172
sidereal_month_3_minus_annual_sin	55097.62980140187
sidereal_month_3_minus_annual_cos	-33089.21236953139
sidereal_month_3_plus_annual_sin	-9484.695134863257
sidereal_month_3_plus_annual_cos	-5728.439743759111
anomalistic_1_minus_annual_sin	51975.799678970594
anomalistic_1_minus_annual_cos	-20689.049911044538
anomalistic_1_plus_annual_sin	61996.894749767496
anomalistic_1_plus_annual_cos	10623.179815640673
anomalistic_2_minus_annual_sin	18150.35511462763
anomalistic_2_minus_annual_cos	45602.11954453029
anomalistic_2_plus_annual_sin	-28505.811970034614
anomalistic_2_plus_annual_cos	-67198.11565346643
anomalistic_3_minus_annual_sin	5460.906854532659
anomalistic_3_minus_annual_cos	-50367.65953498706
anomalistic_3_plus_annual_sin	-70130.23840075731
anomalistic_3_plus_annual_cos	50850.87885819748
pressure_z	-11306.609623311087
temperature_z	103794.14694751799
humidity_z	-8651.945127543062
np_duration_z	23189.826195335947
log_photon_count_z	-154741.712394163
uncertainty_z	-149073.85114619974
batch_group_b	46507.992070011795
batch_group_c_replacement	56807.88837516494
batch_group_d_complete	14177.83735949779
batch_group_e_complete	47319.61137912795
batch_group_f	-48701.842047521845
reflector_Apollo11	-94026.57300753891
reflector_Apollo14	-158271.02942478098
reflector_Luna17	284011.2914941758
reflector_Luna21	-47312.29336407967
